RefType,Reason
Add_Parameter [ SingleColumnRelation <init> Operator type ] ,Support multi-row selects within a partition using IN
Add_Parameter [ MultiColumnRelation <init> Operator relationType ] ,Support multi-row selects within a partition using IN
Add_Parameter [ OutboundTcpConnection isTimedOut long maxTimeNanos ] ,finish renaming entry variables
Add_Parameter [ BufferedPoolingSegmentedFile  Builder#complete boolean isFinal ] , reduce memory used by sstr during bulk load patch by Tyler Hobbs and jbellis for CASSANDRA-5555
Add_Parameter [ CompressedPoolingSegmentedFile Builder#complete long overrideLength ] ,reduce memory used by sstr during bulk load patch by Tyler Hobbs and jbellis for CASSANDRA-5555 
Add_Parameter [ StreamResultFuture attachSocket int sessionIndex ] ,fix bulkloader patch by yukim reviewed by slebresne for CASSANDRA-5542
Add_Parameter [ CollectionSerializer pack Collection<ByteBuffer> buffers ] ,Cleanup AbstractType/TypeSerializer classes
Add_Parameter [ CollectionSerializer pack int version ] ,Fixup for CASSANDRA-6914  null handling
Add_Parameter [ StreamResultFuture initReceivingSide int sessionIndex ] ,Fix deadlock in new Streaming code
Add_Parameter [ ProgressInfo <init> int sessionIndex ] ,Streaming 2.0
Add_Parameter [ StreamInitMessage <init> int sessionIndex ] ,Fix deadlock in new Streaming code 
Add_Parameter [ StreamResultFuture <init> StreamCoordinator coordinator ] ,Fix deadlock in new Streaming code 
Add_Parameter [ StorageServiceMBean forceRepairRangeAsync boolean isSequential ] , Remove C* specific class from JMX API 
Add_Parameter [ StorageServiceMBean forceRepairRangeAsync boolean isLocal ] , Remove C* specific class from JMX API 
Add_Parameter [ Term Terminal#bind QueryOptions options ] ,Support named bind variables in CQL
Add_Parameter [ PoolingSegmentedFile PoolingSegmentedFile String path ] ,pool [Compressed]RandomAccessReader objects on the partitioned read path; creating them is expensive patch by jbellis; reviewed by xedin and slebresne for CASSANDRA-4942
Remove parameter [ DeletionTime isDeleted Column column ] ,Fix columns expiring in the middle of 2 phase compactions
Remove parameter [ SequentialWriter open boolean skipIOCache ] ,clean up ioexceptions patch by Aleksey Yeschenko and jbellis for CASSANDRA-2116
Remove parameter [ StorageServiceMBean forceRepairRangeAsync int parallelismDegree ] ,Remove C* specific class from JMX API
Remove parameter [ SingleColumnRelation <init> List<Term.Raw> inValues ] ,Fix non-text comparator col names in cql3 queries
Remove parameter [ MultiColumnRelation createNonInRelation Type relationType ] ,Fix non-text comparator col names in cql3 queries
Remove parameter [ StreamResultFuture <init> Collection<StreamSession> sessions ] ,fix CME in StreamResultFuture patch by Mikhail Stepura; reviewed by jbellis for CASSANDRA-6129
Remove parameter [ RandomAccessReader open boolean skipIOCache ] , inline an infrequently-used RAR.open overload 
Remove parameter [ Term.java  Terminal#bind List<ByteBuffer> values ] ,Support named bind variables in CQL
Remove parameter [ CollectionSerializer pack int size ] ,Fixup for CASSANDRA-6914  null handling
Remove parameter [ OutboundTcpConnection QueuedMessage#isTimedOut long maxTime ] , Add retry mechanism to OTC for non-droppable_verbs patch by jasobrown; reviewed by jbellis for CASSANDRA-5393 
Remove parameter [ StreamResultFuture createAndRegister Collection<StreamSession> sessions ] ,Fix deadlock in new Streaming code
Remove parameter [ SegmentedFile <init> long onDiskLength ] , replace constant-size 2GB mmaped segments and special casing for index entries spanning segment boundaries  with SegmentedFile that computes segments that always contain entire entries (or rows).  patch by Stu Hood and jbellis for CASSANDRA-1117 
Remove parameter [ PoolingSegmentedFile <init> long length ] , add file_cache_size_in_mb setting patch by pyaskevich and jbellis for CASSANDRA-5661
Remove parameter [ CompressedPoolingSegmentedFile createReader String path ] ,reduce memory used by sstr during bulk load patch by Tyler Hobbs and jbellis for CASSANDRA-5555
Remove parameter [ StreamResultFuture initReceivingSide UUID planId ] ,fix bulkloader patch by yukim reviewed by slebresne for CASSANDRA-5542
Remove parameter [ SingleColumnRelation <init> boolean onToken ] ,Fix non-text comparator col names in cql3 queries
Move method [ RangeTombstoneList NativeCounterCell diff ] ,Backport CASSANDRA-6863 without digest updates
Move method [ CommitLog CommitLog SegmentManager resetUnsafe ] ,Merge from 0.8
Move method [ UntypedResultSet UntypedResultSet# FromResultSet iterator ] , avoid flushing everyone on truncate; save truncation position in system table instead patch by jbellis; reviewed by yukim for CASSANDRA-4906
Move method [ CounterMutation IndexExpression toString ] ,
Move method [ ColumnStats# MinTracker ColumnStats# MaxLongTracker update ] ,Track min/max timestamps and maxLocalDeletionTime correctly
Move method [ BigIntegerToken ComparableObject Token compareTo ] ,refactors COPP to use BytesToken.  patch by Stu Hood; reviewed by 
